Name,Link
The Salty Sea Dog,https://wanderlog.com/place/details/1174432/the-salty-sea-dog
Snoekies Hout Bay,https://wanderlog.com/place/details/95545/snoekies-hout-bay
Liguria Ristorante,https://wanderlog.com/place/details/3355111/liguria-ristorante
Burger King Heerengracht (Halaal),https://wanderlog.com/place/details/1557548/burger-king-heerengracht-halaal
Shawarma Express,https://wanderlog.com/place/details/3658432/shawarma-express
Pahari African Restaurant,https://wanderlog.com/place/details/1612630/pahari-african-restaurant
Hudsons - The Burger Joint (Muizenberg),https://wanderlog.com/place/details/3674208/hudsons-the-burger-joint-muizenberg
KFC Century City,https://wanderlog.com/place/details/3726287/kfc-century-city
Jason Bakery,https://wanderlog.com/place/details/1108150/jason-bakery
JARRYDS Brunch & Bistro,https://wanderlog.com/place/details/95926/jarryds-brunch--bistro
Kleinsky's Delicatessen,https://wanderlog.com/place/details/830118/kleinskys-delicatessen
Our Local @ 117 Kloof,https://wanderlog.com/place/details/1336779/our-local--117-kloof
Clarke's Bar & Dining Room,https://wanderlog.com/place/details/95924/clarkes-bar--dining-room
Starlings,https://wanderlog.com/place/details/1336771/starlings
Loading Bay,https://wanderlog.com/place/details/1336773/loading-bay
Sonny and Irene,https://wanderlog.com/place/details/4875480/sonny-and-irene
Kloof Street House,https://wanderlog.com/place/details/95717/kloof-street-house
Olympia Cafe,https://wanderlog.com/place/details/95866/olympia-cafe
Lily's,https://wanderlog.com/place/details/1393936/lilys
BUTTER - All Day Breakfast & Bistro Bar,https://wanderlog.com/place/details/1336784/butter-all-day-breakfast--bistro-bar
Manna Epicure,https://wanderlog.com/place/details/95815/manna-epicure
Coco Safar Sea Point,https://wanderlog.com/place/details/1431208/coco-safar-sea-point
New York Bagels,https://wanderlog.com/place/details/1336787/new-york-bagels
Between Us,https://wanderlog.com/place/details/1173885/between-us
Scheckter's RAW Cape Quarter,https://wanderlog.com/place/details/9946019/scheckters-raw-cape-quarter
Jonkershuis Constantia,https://wanderlog.com/place/details/1336783/jonkershuis-constantia
The Blue Cafe,https://wanderlog.com/place/details/1336790/the-blue-cafe
The Foodbarn Café & Tapas,https://wanderlog.com/place/details/1117293/the-foodbarn-café--tapas
Four & Twenty Cafe,https://wanderlog.com/place/details/1336794/four--twenty-cafe
The Gardeners Cottage Restaurant,https://wanderlog.com/place/details/1336864/the-gardeners-cottage-restaurant
Chardonnay Deli Constantia,https://wanderlog.com/place/details/1336782/chardonnay-deli-constantia
Chocolat Bistro,https://wanderlog.com/place/details/1336868/chocolat-bistro
Nourish'd Café & Juicery,https://wanderlog.com/place/details/1172762/nourishd-café--juicery
Wildsprout - Kenilworth,https://wanderlog.com/place/details/1336865/wildsprout-kenilworth
Spirit Cafe,https://wanderlog.com/place/details/1336867/spirit-cafe
The Conscious Kitchen,https://wanderlog.com/place/details/1336861/the-conscious-kitchen
Rumi Cafe,https://wanderlog.com/place/details/9336285/rumi-cafe
Kanéla Café,https://wanderlog.com/place/details/6115241/kanéla-café
PARIS CAPE TOWN,https://wanderlog.com/place/details/1904561/paris-cape-town
Freddie Freeloader,https://wanderlog.com/place/details/9895817/freddie-freeloader
Maggy Lou's,https://wanderlog.com/place/details/11710347/maggy-lous
BUTTER - All Day Breakfast & Bistro Bar - Sea Point,https://wanderlog.com/place/details/10514019/butter-all-day-breakfast--bistro-bar-sea-point
BG Superette,https://wanderlog.com/place/details/12014735/bg-superette
Quay Four Restaurant,https://wanderlog.com/place/details/476560/quay-four-restaurant
